,humidity,precipitation_height,snow_depth,sunshine_duration,temperature_air_max_2m,temperature_air_mean_2m,season,holiday
2019-10-24,77.0,0.0,0.0,13320.0,293.95,287.95,autumn,True
2019-10-25,74.0,0.0,0.0,27000.0,290.34999999999997,287.45,autumn,True
2019-10-26,68.0,1.0,0.0,21600.0,294.15,289.45,autumn,True
2019-10-27,84.0,1.9,0.0,0.0,288.84999999999997,282.75,autumn,False
2019-10-28,89.0,0.0,0.0,27360.0,284.54999999999995,279.25,autumn,False
2019-10-29,89.0,0.0,0.0,7560.0,283.75,279.45,autumn,False
2019-10-30,91.0,0.0,0.0,7200.0,280.54999999999995,275.54999999999995,autumn,False
2019-10-31,80.0,0.0,0.0,30960.0,282.75,276.54999999999995,autumn,False
2019-11-01,88.0,6.5,0.0,0.0,286.54999999999995,280.75,autumn,False
2019-11-02,79.0,2.9,0.0,5760.0,289.04999999999995,286.54999999999995,autumn,False
2019-11-03,82.0,0.0,0.0,720.0,288.65,284.95,autumn,False
2019-11-04,82.0,0.8,0.0,7560.0,286.15,283.34999999999997,autumn,False
2019-11-05,85.0,5.0,0.0,6840.0,285.45,282.25,autumn,False
2019-11-06,94.0,1.6,0.0,0.0,282.54999999999995,281.04999999999995,autumn,False
2019-11-07,85.0,0.0,0.0,3240.0,283.84999999999997,280.84999999999997,autumn,False
2019-11-08,89.0,0.1,0.0,14400.0,284.04999999999995,278.25,autumn,False
2019-11-09,84.0,0.0,0.0,11880.0,282.15,278.04999999999995,autumn,False
2019-11-10,96.0,0.0,0.0,10800.0,278.95,274.65,autumn,False
2019-11-11,87.0,0.0,0.0,1800.0,280.15,277.15,autumn,False
2019-11-12,82.0,0.5,0.0,6480.0,280.65,277.75,autumn,False
2019-11-13,83.0,0.0,0.0,1440.0,280.34999999999997,278.04999999999995,autumn,False
2019-11-14,80.0,0.0,0.0,2160.0,281.45,278.25,autumn,False
2019-11-15,83.0,0.0,0.0,360.0,280.15,276.84999999999997,autumn,False
2019-11-16,80.0,0.0,0.0,22320.0,282.04999999999995,276.95,autumn,False
2019-11-17,97.0,19.4,0.0,0.0,276.95,274.65,autumn,False
2019-11-18,96.0,23.1,0.0,0.0,279.15,276.95,autumn,False
2019-11-19,89.0,0.8,0.0,3240.0,279.54999999999995,276.84999999999997,autumn,False
2019-11-20,88.0,0.0,0.0,18720.0,279.45,275.34999999999997,autumn,False
2019-11-21,92.0,0.2,0.0,13320.0,278.45,275.25,autumn,False
2019-11-22,90.0,0.0,0.0,9000.0,280.34999999999997,277.75,autumn,False
2019-11-23,81.0,0.0,0.0,2160.0,283.04999999999995,278.95,autumn,False
2019-11-24,85.0,0.0,0.0,20160.0,284.75,278.84999999999997,autumn,False
2019-11-25,88.0,0.0,0.0,3240.0,283.45,280.04999999999995,autumn,False
2019-11-26,82.0,0.1,0.0,0.0,285.45,283.04999999999995,autumn,False
2019-11-27,80.0,0.2,0.0,2880.0,286.04999999999995,283.65,autumn,False
2019-11-28,81.0,10.0,0.0,360.0,284.25,282.95,autumn,False
2019-11-29,85.0,0.0,0.0,14400.0,281.45,278.54999999999995,autumn,False
2019-11-30,90.0,0.0,0.0,26280.0,280.04999999999995,275.04999999999995,autumn,False
2019-12-01,91.0,0.0,0.0,1440.0,276.15,273.65,autumn,False
2019-12-02,93.0,1.3,0.0,1440.0,279.25,275.65,autumn,False
2019-12-03,91.0,0.0,0.0,0.0,280.95,278.84999999999997,autumn,False
2019-12-04,90.0,0.0,0.0,21600.0,278.84999999999997,275.15,autumn,False
2019-12-05,84.0,0.0,0.0,18000.0,279.54999999999995,273.75,autumn,False
2019-12-06,77.0,1.4,0.0,0.0,280.84999999999997,277.65,autumn,False
2019-12-07,79.0,0.0,0.0,11880.0,282.65,281.54999999999995,autumn,False
