HW;ETS;SARIMA(X);RF;ERT;XGBoost;GPRlin;GPRRBF;NaiveLast
0.02563715;0.02487103;0.02503112;0.02695677;0.02614867;0.0378862;0.02583834;0.02626186;0.0333946
0.02618518;0.0259592;0.02585431;0.02538695;0.02525925;0.0287314;0.02623271;0.02645021;0.0309494
0.00551877;0.00542772;0.00550861;0.00552074;0.00559519;0.0058012;0.00571491;0.00567305;0.0073254
0.01678372;0.01690779;0.01673923;0.01696506;0.01737467;0.0176804;0.01771591;0.01719253;0.019085
0.02888367;0.02910054;0.02872239;0.02893202;0.02909241;0.0327832;0.02960342;0.02925471;0.033808
0.01260925;0.01265914;0.01266584;0.01255208;0.01248503;0.013444;0.01269361;0.01270181;0.017886
0.01942171;0.01924657;0.01920756;0.01951697;0.01939542;0.0211311;0.01969104;0.01963205;0.0222382
0.00711334;0.00697182;0.0069788;0.00685319;0.00686496;0.0074568;0.00710251;0.007038;0.0091678
0.00945878;0.00922367;0.00922106;0.00928439;0.00951371;0.0101742;0.00961454;0.009999;0.011398
0.01069732;0.0105489;0.01055944;0.01063611;0.01064562;0.011855;0.01069305;0.01062973;0.0124073
0.01756395;0.01727348;0.01732001;0.01745099;0.01744367;0.0185732;0.01757377;0.01753628;0.021277
0.00491087;0.00482348;0.00481856;0.00474381;0.00471902;0.0051959;0.00481908;0.00478593;0.0067066
0.06107462;0.06088976;0.06059645;0.06674718;0.06525345;0.0759486;0.06455389;0.06338006;0.0675672
