HW;ETS;SARIMA(X);RF;ERT;XGBoost;GPRlin;GPRRBF;NaiveLast
0.2321168;0.2224578;0.2235153;0.2308372;0.2288756;0.2594563;0.2256887;0.2268965;0.2876071
0.1439763;0.1436162;0.1429482;0.1399324;0.1391868;0.1590387;0.1450644;0.1470304;0.1740092
1.067277;1.066657;1.068528;1.077731;1.084874;1.092426;1.090654;1.097322;0.9327679
0.1792108;0.1812437;0.1789307;0.1821594;0.1853716;0.1944158;0.184698;0.1826175;0.1927304
0.1271999;0.1275872;0.127397;0.128951;0.1293989;0.143198;0.1301189;0.1297127;0.14465
0.1942247;0.1960536;0.1966942;0.1932222;0.1901533;0.2128279;0.1925743;0.1915411;0.2736118
0.1696554;0.1685372;0.1669965;0.1677976;0.1671565;0.1858839;0.1725087;0.1696089;0.1974848
0.1738596;0.1675123;0.1676021;0.1625436;0.1616422;0.1785187;0.1666261;0.1669619;0.222763
0.1756709;0.1711364;0.1697321;0.1761272;0.1780784;0.1917543;0.1746517;0.1812998;0.2077878
0.1721972;0.1704088;0.1698568;0.169992;0.1717656;0.1901815;0.1742986;0.1706025;0.1951609
0.1197283;0.1179283;0.1185706;0.1219148;0.1224571;0.128791;0.1200551;0.123641;0.1446986
0.3093376;0.3065174;0.3055093;0.2941397;0.2900362;0.317461;0.3025907;0.2971682;0.4129973
1.229435;1.221714;1.209944;1.2462;1.243389;1.294658;1.226675;1.250957;0.8864489
