SARIMA(X);RF;ERT;XGBoost;GPRlin;GPRRBF
0.2225303;0.2311976;0.2270759;0.2599489;0.2264255;0.2245128
0.1353944;0.1384053;0.1390424;0.165248;0.1491751;0.1466667
1.094068;1.079857;1.084015;1.106116;1.092137;1.100293
0.1637225;0.1832629;0.1855033;0.2067163;0.2001441;0.1842723
0.1301997;0.1265169;0.1300134;0.1421155;0.1372658;0.1338118
0.1950914;0.1890471;0.1865505;0.2168334;0.1934368;0.1892336
0.1591171;0.1635228;0.1658316;0.1886648;0.1789401;0.1712224
0.1660163;0.1595266;0.1574028;0.1825386;0.171547;0.1629021
0.1541652;0.1756966;0.1789033;0.192646;0.1772225;0.1804569
0.1594569;0.1682105;0.1696682;0.1955987;0.1750683;0.1707986
0.1127221;0.1202913;0.1195536;0.1299482;0.1222085;0.1205218
0.2898729;0.2948774;0.290879;0.3298631;0.3120977;0.2991506
1.192733;1.23796;1.235121;1.27499;1.22102;1.236113
